,package,y,file
0,mbx-1,0,
1,django-omnibus-0.2.0,0,
2,stringcase-1.2.0,0,
3,opentelemetry-api-1.12.0rc2,0,
4,dynafed_storagestats-1.0.40,0,
5,azure-kusto-ingest-3.1.3,0,
6,progressbar-2.5,0,
7,future-0.18.2,0,
8,lxml-4.9.1,0,
9,uritools-4.0.0,0,
10,asynctest-0.13.0,0,
11,seaborn-0.12.0b2,0,
12,uspp,0,
13,django-nav-menu-0.1.6,0,
14,nonebot-adapter-onebot-2.1.1,0,
15,pytest-flake8-1.1.1,0,
16,asdeefdzfzs-1.1,1,D:\zzl\MutiHunter\data\pypi_malicious\asdeefdzfzs-1.1\asdeefdzfzs\__init__.py
17,flake8-print-5.0.0,0,
18,tsccm-0.0.3,0,
19,jsConsole-1.0.2,0,
20,beautifulsoup4-new-4.12.11,0,
21,yaml2instance-0.2.0,0,
22,pyzmq-23.2.0,0,
23,mg2dsn-0.5,0,
24,flake8-5.0.2,0,
25,pyteseract-0.3.22,1,D:\zzl\MutiHunter\data\pypi_malicious\pyteseract-0.3.22\setup.py
26,apache-airflow-providers-amazon-4.1.0rc1,0,
27,assault-1.0.0,0,
28,pycache__pycparser-2.19,1,D:\zzl\MutiHunter\data\pypi_malicious\pycache__pycparser-2.19\pycache__pycparser\__init__.py
29,suffer-0.6,1,D:\zzl\MutiHunter\data\pypi_malicious\suffer-0.6\src\suffer.py
30,django-session-csrf-0.7.1,0,
31,url_extractor-0.0.2,1,D:\zzl\MutiHunter\data\pypi_benign\url_extractor-0.0.2\url_extractor\url_extractor.py
32,marshmallow-enum-1.5.1,0,
33,tner-0.0.8,0,
34,aiohttp_proxies-0.8.40,1,D:\zzl\MutiHunter\data\pypi_malicious\aiohttp_proxies-0.8.40\setup.py
35,dnspython-2.2.1,0,
36,virtualnv-0.1.1,1,D:\zzl\MutiHunter\data\pypi_malicious\virtualnv-0.1.1\setup.py
37,dndclib-0.18,0,
38,Acqusition-4.4.2,0,
39,optuna-3.0.0a2,0,
40,pytest-runner-6.0.0,0,
41,speechrecongition-4.4.7,1,D:\zzl\MutiHunter\data\pypi_malicious\speechrecongition-4.4.7\setup.py
42,test_modules-0.0.1,0,
43,spark-nlp-4.0.2,0,
44,youtube-new-2.2.1,0,
45,important_package-0.1.17,1,D:\zzl\MutiHunter\data\pypi_malicious\important_package-0.1.17\src\example_package\__init__.py
46,collective.atimage.transformmenu-1.2.2,0,
47,cvxpy-1.2.1,0,
48,dpp_client-1.0.5,1,D:\zzl\MutiHunter\data\pypi_malicious\dpp_client-1.0.5\setup.py
49,minimal_py_setup-0.1.dev4.g5d9c0b8,0,
50,gunicorn-20.1.0,0,
